,id,stationName,latitude,longitude,totalDocks
295,3043,Lewis Ave & Decatur St,40.6814598,-73.934903,19
296,3044,Albany Ave & Fulton St,40.6800105,-73.938475,27
297,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,19
298,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,21
299,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,19
300,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,18
301,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,21
302,3052,Lewis Ave & Madison St,40.686312,-73.935775,23
303,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,23
304,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,19
305,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,23
306,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,23
307,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,18
308,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,24
309,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,19
310,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,19
311,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,21
312,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,23
313,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,20
314,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,23
315,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,27
316,3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,19
317,3067,Broadway & Whipple St,40.7016657,-73.9437303,27
318,3068,Humboldt St & Varet St,40.7031724,-73.940636,24
319,3069,Lorimer St & Broadway,40.70411791,-73.94818595,25
320,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,23
321,3071,Boerum St & Broadway,40.70538077,-73.94976519,19
322,3072,Leonard St & Boerum St,40.70583339,-73.94644578,24
323,3073,Division Ave & Hooper St,40.70691254,-73.95441667,27
324,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,31
325,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,33
326,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,24
327,3077,Stagg St & Union Ave,40.70877084,-73.95095259,33
328,3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,27
329,3080,S 4 St & Rodney St,40.70934,-73.95608,21
330,3081,Graham Ave & Grand St,40.711863,-73.944024,23
331,3082,Hope St & Union Ave,40.71167351,-73.95141312,25
332,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,30
333,3085,Roebling St & N 4 St,40.71469,-73.95739,25
334,3086,Graham Ave & Conselyea St,40.715143,-73.944507,25
335,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,30
336,3088,Union Ave & Jackson St,40.7160751,-73.952029,19
337,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,31
338,3091,Frost St & Meeker St,40.71764,-73.94882,31
339,3092,Berry St & N 8 St,40.7190095,-73.95852515,27
340,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,28
341,3094,Graham Ave & Withers St,40.7169811,-73.94485918,18
342,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,23
343,3096,Union Ave & N 12 St,40.71924,-73.95242,39
344,3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,39
345,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,27
346,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,27
347,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,27
348,3105,N 15 St & Wythe Ave,40.724055,-73.955736,24
349,3106,Driggs Ave & N Henry St,40.72325,-73.94308,19
350,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,39
351,3108,Nassau Ave & Russell St,40.72557,-73.94434,24
352,3109,Banker St & Meserole Ave,40.72606,-73.95621,31
353,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,27
354,3112,Milton St & Franklin St,40.72906,-73.95779,33
355,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,27
356,3115,India St & Manhattan Ave,40.73232194,-73.9550858,34
357,3116,Huron St & Franklin St,40.73266,-73.95826,45
358,3117,Franklin St & Dupont St,40.73564,-73.95866,27
359,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,30
360,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,45
361,3120,Center Blvd & Borden Ave,40.74161,-73.96044,20
362,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,27
363,3122,48 Ave & 5 St,40.744363287066875,-73.9558732509613,31
364,3123,31 St & Thomson Ave,40.74469738,-73.93540375,27
365,3124,46 Ave & 5 St,40.74731,-73.95451,27
366,3125,45 Rd & 11 St,40.74708586,-73.94977234,23
367,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,34
368,3127,9 St & 44 Rd,40.74966,-73.9521,35
369,3128,21 St & 43 Ave,40.75052534,-73.94594845,23
370,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,31
371,3130,21 St & Queens Plaza North,40.75325964,-73.94335788,31
372,3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,31
373,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,35
374,3134,3 Ave & E 62 St,40.76312584,-73.96526895,51
375,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,41
376,3136,5 Ave & E 63 St,40.766368,-73.971518,47
377,3137,5 Ave & E 73 St,40.77282817,-73.96685276,31
378,3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,43
379,3140,1 Ave & E 78 St,40.77140426,-73.9535166,55
380,3141,1 Ave & E 68 St,40.76500525,-73.95818491,59
381,3142,1 Ave & E 62 St,40.7612274,-73.96094022,41
382,3143,5 Ave & E 78 St,40.77632142182271,-73.96427392959595,47
383,3144,E 81 St & Park Ave,40.77677702,-73.9590097,46
384,3145,E 84 St & Park Ave,40.77862688,-73.95772073,45
385,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,47
386,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,39
387,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,27
388,3150,E 85 St & York Ave,40.77536905,-73.94803392,47
389,3151,E 81 St & York Ave,40.7728384,-73.94989233,43
390,3152,3 Ave & E 71 St,40.76873687,-73.96119945,42
391,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,39
392,3156,E 72 St & York Ave,40.76663814,-73.95348296,39
393,3157,East End Ave & E 86 St,40.77518615,-73.94446054,27
394,3158,W 63 St & Broadway,40.77163851,-73.98261428,31
395,3159,W 67 St & Broadway,40.77492513,-73.98266566,31
396,3160,Central Park West & W 76 St,40.77896784,-73.97374737,27
397,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,59
398,3162,W 78 St & Broadway,40.78339981,-73.98093133,39
399,3163,Central Park West & W 68 St,40.7734066,-73.97782542,43
400,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,67
401,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,51
